File,Species,Time
SwiftOne_20250323_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250329_171500(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250329_171500(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250330_061500(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250330_061500(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250330_061500(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250403_161500(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250413_063001(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250413_063001(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250413_064501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250413_064501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250413_064501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250413_064501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250415_044500(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250206_184501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250206_184501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250209_191501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250209_191501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_070001(UTC-3).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250211_070001(UTC-3).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250211_070001(UTC-3).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250212_190001(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_191501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250213_180001(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250213_184501(UTC-3).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
